PALABRA,TEMATICA - HOMOLOGACION,TEMATICA - PQR,SUBTEMATICA - SEGUIMIENTO RESPUESTA ,SUBTEMATICA - EQUIPO BLOQUEADO,SUBTEMATICA - OTROS,SUBTEMATICA - IMPOSIBILIDAD OBTENER REQUISITOS,SUBTEMATICA - PROBLEMAS DE REGISTRO,SUBTEMATICA - REALIZAR EL TRAMITE HOMOLOGACION,SUBTEMATICA - PETICION POR FORMULARIO,SUBTEMATICA - EQUIPO NO HOMOLOGABLE VENDIDO POR AUTORIZADO,SUBTEMATICA - CONSULTA DE PERTINENCIA,SUBTEMATICA - EQUIPO NO HOMOLOGABLE VENDIDO POR COMERCIO COLOMBIANO,SUBTEMATICA - CORRECION CARTA DE HOMOLOGACION,SUBTEMATICA - COMPLEMENTACION POSTULACION,SUB-SUBTEMATICA - NO APLICA
santander,0,20,0,0,0,0,0,0,20,0,0,0,0,0,20
legislación,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
erogaciones,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
jurídicas,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
turmina,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
accordance,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
*611,0,7,0,0,0,0,0,0,7,0,0,0,0,0,7
dio,1,4,0,1,0,0,0,0,4,0,0,0,0,0,5
resido,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
indicarme,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2
p.,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2
jbejarano,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
campos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
domicilios,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
http,8,9,0,4,0,0,0,0,9,0,4,0,0,0,17
existe,3,1,0,3,0,0,0,0,1,0,0,0,0,0,4
allegan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
mejores,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
cosa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
informa,4,7,2,2,0,0,0,0,7,0,0,0,0,0,11
libre,2,6,0,1,0,0,0,1,6,0,0,0,0,0,8
lamus,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0679,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
escribirle,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
estrictamente,1,5,0,0,0,0,0,0,5,1,0,0,0,0,6
venía,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
ingresan,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
recogieron,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
jornada,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
inglaterra,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
destrucción,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
service,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2
procedencia,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3
ericsson,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
oviedo,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
beneficia,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
anteriores,5,6,0,4,0,0,0,0,6,0,1,0,0,0,11
249,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
suscriptores,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
diego,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
had,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
+57,1,32,0,0,0,0,0,0,32,1,0,0,0,0,33
perteneciente,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
jan,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
|mclarty,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
cercano,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
carácter,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6
gestionando,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
juramento,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
hábiles,0,7,0,0,0,0,0,0,7,0,0,0,0,0,7
proceda,1,12,0,0,0,1,0,0,12,0,0,0,0,0,13
sait,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
fichero,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
radicacion,8,3,2,2,1,1,0,0,3,0,2,0,0,0,11
homologuen,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4
física,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
ilimitado,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
subido,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
decreto,2,4,0,2,0,0,0,0,4,0,0,0,0,0,6
registrarlo,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
estancia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
necesidad,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
ofrecen,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
kiajackson,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
negarse,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
robado..teniendo,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
gil,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
constantes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
convenido,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
intenté,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
errores,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6
inicio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
buck,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
acaba,2,1,0,2,0,0,0,0,1,0,0,0,0,0,3
ley,6,55,0,6,0,0,0,0,55,0,0,0,0,0,61
pasaporte,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
investigación,2,4,0,2,0,0,0,0,4,0,0,0,0,0,6
divulgará,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
especializado,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
hacer,43,29,3,27,4,4,0,3,29,1,0,1,0,0,72
¿la,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
//www.kaludecolombia.com,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
rato,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
dispuestos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
vial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
telefónica,1,11,1,0,0,0,0,0,11,0,0,0,0,0,12
importar,2,1,0,0,0,0,0,0,1,0,2,0,0,0,3
enfrente,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
explore,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
informe,1,9,0,0,1,0,0,0,9,0,0,0,0,0,10
ialmente,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
preguntar,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3
realmente,3,1,0,3,0,0,0,0,1,0,0,0,0,0,4
hurtados,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
complementos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
atentamente,3,12,0,0,0,0,0,0,12,0,2,0,0,1,15
escuchan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
indicadores,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
negado,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3
sony,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
bloquean,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
físicos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
luego,4,0,0,2,0,2,0,0,0,0,0,0,0,0,4
determina,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
asustado,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
cargar,1,2,0,1,0,0,0,0,2,0,0,0,0,0,3
establecidas,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
222,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
resuelven,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
bloqueando,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
bateria,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
servicios,1,56,0,1,0,0,0,0,56,0,0,0,0,0,57
objetivas,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
concedió,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
constitucionales,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
públicos,0,11,0,0,0,0,0,0,11,0,0,0,0,0,11
sustancias,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
wiko,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
jorge.potes,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
3198349,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
portón,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
viola,0,7,0,0,0,0,0,0,7,0,0,0,0,0,7
advice,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
dejan,3,1,0,1,2,0,0,0,1,0,0,0,0,0,4
omission,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ponga,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
establecimiento,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
sarmiento,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
señala,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
04:00,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
componentes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
confirmar,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
mente,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
comunicarse,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
laboratorios,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4
sancionada,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
reporté,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
precis,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
viene,5,0,0,4,0,1,0,0,0,0,0,0,0,0,5
utilização,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
anexos,0,13,0,0,0,0,0,0,13,0,0,0,0,0,13
redmi,10,0,0,10,0,0,0,0,0,0,0,0,0,0,10
conoce,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
72,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
activar,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2
solucion,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
received,1,15,0,0,0,0,0,0,15,1,0,0,0,0,16
carcaza,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
road,2,1,0,0,0,0,0,0,1,0,2,0,0,0,3
gerente,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6
ngrinager,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2
rf,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
involucren,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
decisión,0,17,0,0,0,0,0,0,17,0,0,0,0,0,17
descarga,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
mr.,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
jurídico,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
physically,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
fundamenta,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
author,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
transmitted,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
mios,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
dictan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
indique,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
35386906,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
promedio,1,11,0,1,0,0,0,0,11,0,0,0,0,0,12
reactivando,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
objetado,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
debió,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ilegítimo,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
miriam,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
reactivar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
utilizada,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
arbitral,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ubicadas,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
2229,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
resolución,1,29,0,1,0,0,0,0,29,0,0,0,0,0,30
32,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
olga,1,5,0,1,0,0,0,0,5,0,0,0,0,0,6
contiene,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
web,2,8,0,1,0,0,0,0,8,0,1,0,0,0,10
1.1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
propiedad,1,11,0,0,0,0,0,1,11,0,0,0,0,0,12
similares,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
chile,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2
briceño,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
moreno,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
voy,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6
plazos,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
instrucciones,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
local,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10
circunstancia,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
reclamo,0,22,0,0,0,0,0,0,22,0,0,0,0,0,22
emilio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
propios,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
novedad,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2
calificados,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
realizó,1,4,0,1,0,0,0,0,4,0,0,0,0,0,5
consecuencias,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
www.spadeconsultancy.com,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
marcamos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
presencia,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
16-05-2.014,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
ca,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
producido,1,2,0,1,0,0,0,0,2,0,0,0,0,0,3
inconforme,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
codigo,23,0,0,21,0,1,0,0,0,0,0,0,0,1,23
celmedia,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
marco,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
envia,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2
7:55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
306,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
muestra,4,2,1,0,2,1,0,0,2,0,0,0,0,0,6
atreven,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ntn,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
daban,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
mcortes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
yen,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
doña,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
obligaciones,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
ningun,3,1,1,2,0,0,0,0,1,0,0,0,0,0,4
bluetooth,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
320-8992140,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
constantemente,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
40398374,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
favorabilidad,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
aprobación,1,3,0,1,0,0,0,0,3,0,0,0,0,0,4
351,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
visualiza,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
imprimir,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
2014,5,44,0,1,0,0,0,0,44,0,2,0,1,1,49
escocia,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2008,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
reglamento,0,9,0,0,0,0,0,0,9,0,0,0,0,0,9
excepción,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
trae,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
hoja,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
calientan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
posiciones,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
8.718.840.oo,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6
lógicos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
capitales,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
quiñones,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
medellín,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
mama,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2
inundado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
cartera,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
facilitaran,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
múnera,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
perú,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
sujeto,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
vez,9,14,0,7,0,0,0,0,14,0,2,0,0,0,23
nota,3,15,0,0,0,0,0,0,15,0,1,0,1,1,18
calle,3,20,0,0,0,0,0,0,20,0,1,0,1,1,23
lg-ro,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
____________________________________,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
san,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
opinion,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2
dispuestas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
reply,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
negué,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
41,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
resolverlo,1,2,0,1,0,0,0,0,2,0,0,0,0,0,3
obliguen,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
bienestar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1.40mts,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
mintic,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
301,0,9,0,0,0,0,0,0,9,0,0,0,0,0,9
comienza,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
certificaciã³n,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
produzca,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
terminada,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
informal,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
nit-890310418-4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
enteras,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
marketing,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
derechos,2,26,1,1,0,0,0,0,26,0,0,0,0,0,28
indicarnos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
anexe,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
valores,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
2:08,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
aviso,2,7,0,2,0,0,0,0,7,0,0,0,0,0,9
relacionadas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
contraprestación,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
those,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2
mandy,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
efectivas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
certificar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
parrado,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
razonable,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
futura,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
consideren,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
intromisión,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
hacia,1,2,0,0,0,0,0,0,2,0,1,0,0,0,3
few,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
bln-n24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
excusas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
mismo,18,26,1,11,1,3,0,0,26,0,0,2,0,0,44
situacion,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
date,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
34,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
pulidora,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
códigos,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
21,1,4,0,0,0,0,0,0,4,0,0,0,1,0,5
colaboren,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
oneplus,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
radicado,26,1,6,14,2,4,0,0,1,0,0,0,0,0,27
asegurar,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
autorizada,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
f.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dejará,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
figura,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
hacerme,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
comarcio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2°,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
149,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
blackview,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
propias,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
concern,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ud,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ltd.,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2
envio,4,2,0,3,0,1,0,0,2,0,0,0,0,0,6
apoderado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
otherwise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
recurrido,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
homologue,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4
vulnerándome,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
marido,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
pasa,2,2,0,1,0,0,1,0,2,0,0,0,0,0,4
anunciado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
gearbest,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
multa,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
programa,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
consultor,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
express,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
acudir,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
defecto,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
fijas,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
nw,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
circuito,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
regula,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
sic.gov.co,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ma,10,10,0,8,0,2,0,0,10,0,0,0,0,0,20
estudien,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3127578577,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
61,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
telefónicamente,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
discrecionales,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
rengifo,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
juzgado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
imagen.,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
factores,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
fcc-id,66,0,0,66,0,0,0,0,0,0,0,0,0,0,66
llamada.-,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
compruebe,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ranuras,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
contrario,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
entiende,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
visited,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
//www.teleantioquia.com.co,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
alfredo,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
descripcion,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
antena,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
registre,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
venezuela,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
coloque,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
señalado,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
preguntando,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
conectaron,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
sinceros,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
envie,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
preferencial,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
company,2,1,0,0,0,0,0,0,1,0,2,0,0,0,3
compensen,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
funcionario,0,11,0,0,0,0,0,0,11,0,0,0,0,0,11
u,3,6,1,1,0,0,0,0,6,0,0,0,0,1,9
venden,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3
diciendo,6,2,0,6,0,0,0,0,2,0,0,0,0,0,8
303,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
trate,3,1,0,2,1,0,0,0,1,0,0,0,0,0,4
cobre,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
compaã±ia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
funcionan,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ambiente,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
john,2,2,0,0,0,1,0,0,2,0,1,0,0,0,4
actual,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
marquez,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
rio,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
oficinavirtual,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
pasaste,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
quemando,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
éste,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
solicitud,36,42,10,17,4,1,0,0,42,0,1,0,2,1,78
incurran,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
campo,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
